思科交换机电源无响应事件,思科交换机电源无响应事件可能是设备电源故障或者FRU备用电源未启用。
思科交换机内存低事件,思科交换机的可用内存低于10%。
SNMP默认“共同体”事件,在SNMP请求中使用了默认的public作为“共同体”。
SNMP设备OIDTable超限事件,SNMP设备的OIDTable使用超出了限额。
山石防火墙帐号登录失败事件,山石防火墙上发生的帐号登录失败。
山石防火墙帐号登录成功事件,山石防火墙上发生的帐号登录成功。
IDS外部扫描告警事件,外部地址向内部地址发起的网络扫描，被IDS判断为威胁，并进行了告警。
IDS内部扫描告警事件,内部地址向内部地址发起的网络扫描，也是重要的安全事件，可能意味着源地址设备已经被攻破。
IDS内部攻击告警事件,内部地址向内部地址发起的持续的、多样的网络攻击，是极其严重的，通常意味着源地址设备已经被攻破。
IPS外部扫描告警事件,外部地址对内部地址发起的网络扫描，被IPS判断为威胁较轻，只进行了告警。
IPS外部扫描阻断事件,外部地址对内部地址发起的网络扫描，被IPS判断为威胁比较严重，并进行了阻断。
WAF外部扫描告警事件,外部地址对内部地址发起的网络扫描，被WAF判断为威胁较轻，只进行了告警。
WAF外部扫描阻断事件,外部地址对内部地址发起的网络扫描，被WAF判断为威胁比较严重，并进行了阻断。
WAF内部扫描阻断事件,内部地址向内部地址发起的网络扫描，并被WAF阻断，这是重要的安全事件，可能意味着源地址设备已经被攻破。
网络设备地址冲突事件,网络设备发生了2528次与其它网络设备的地址冲突。
网络设备配置变更事件,网络设备发生了10次配置的变更。
FTP弱口令事件,设备在进行FTP传输过程中被IDS判断为：弱口令。
POP3弱口令事件,设备在进行POP3传输过程中被IDS判断为：弱口令。
POP3可执行附件传递事件,设备在进行POP3传输过程中被IDS发现传递了可执行附件。
SMTP可执行附件传递事件,设备在进行SMTP传输过程中被IDS发现传递了可执行附件。
疑似堡垒机绕行事件,对关键设备的访问必须通过堡垒机进行，但某些设备的登录源地址并不是堡垒机，而是某些用户直接进行登录，属于严重的违规事件。
主机登录失败事件,主机上发生的帐号登录失败。
主机登录成功事件,主机上发生的帐号登录成功。
主机无效用户登录事件,主机上发生的无效帐号登录。
主机帐号锁定事件,帐号锁定是在登录过程中多次出现密码错误发生的。
主机root登录失败事件,主机上发生的root帐号登录失败。
主机root登录成功事件,主机上发生的root帐号登录成功。
主机su命令切换用户成功事件,主机上使用su命令切换用户成功。
主机su命令切换用户失败事件,主机上使用su命令切换用户失败。
主机sudo提权执行命令成功事件,主机上使用sudo提权执行命令成功。
FTP权限设置错误事件,在FTP传输数据时,由于权限设置错误引起的传输失败。
FTP登录口令错误事件,FTP登录时发生的帐号登录失败。
内管应用KeyStore初始化异常事件,内管应用的设备KeyStore初始化过程中发生了109次异常。
柜面应用SQL数据长度异常事件,柜面应用的设备发生的SQL数据长度异常。
信贷系统应用登录失败事件,信贷系统应用的设备发生的帐号登录失败。FRU电源无响应。
